X,Y,Catchment,Total Powe,Transmissi,Transmis_1,Turbine Di,Transmis_2,Full Suppl,Powerhouse,Dam Type,Reservoir,Estimated,Total Leng,Reservoi_1,Reservoi_2,Reservoi_3,Run-of-Riv,Township,Myanmar Se,% use MYA,Export (MW,Height (m),Qmin/ MAF,Crest Leng,Distance a,Plant Fact,Installed,Financiers,GIS Rainfa,Max reserv,Unit Flow,District,Mean annua,Developers,Sub-Basin,Status (la,State/Regi,Basin,Annual Run,Catchmen_1,Sub-Basi_1,Mean ann_1,Installe_1,Total stor,Notes,River,Function,Country,Location_L,Location_1,Status,Project Na,COD Year,Project ID,icon_url
97.287,19.648,,"46","5","132",1.60000,Baluchaung 2,"867",Above ground,CG,0.00000,,0.20000,"2","0","1",RoR,Loikaw,"28",1.000000000000000,0,"11",0.810000000000000,,10.30000,"0.82","28",Sole Investment,"1493",0.00000,4.600000000000000,Loikaw,36.500000000000000,MoEE,Baluchaung,Built,Kayah,Thanlwin,1151.00000,"7872",Nam Pawn,"200","28","2",http://globalenergyobservatory.org/geoid/41487,Baluchaung,HP,Myanmar,97.287000000000006,19.648000000000000,Complete,Baluchaung 1,"1992",DAM0001,./0.png
97.358,19.557,,"48","0","230",1.60000,Taungoo and Shwemyo,"787",Above ground,Weir,0.00000,,0.00000,"0","0","0",RoR,Loikaw,"168",1.000000000000000,0,"-",0.790000000000000,,7.10000,"0.81","168",Sole Investment,"1493",0.00000,4.800000000000000,Loikaw,38.000000000000000,MoEE,Baluchaung,Built,Kayah,Thanlwin,1198.00000,"7910",Nam Pawn,"1190","168","-","This is definitely Baluchaung II. The sequence is, however, confusing, and there would appear to be four dams here, not just three.",Baluchaung,HP,Myanmar,97.358000000000004,19.556999999999999,Complete,Baluchaung 2,"1974",DAM0002,./0.png
97.397,19.546,,"51","5","132",1.70000,Baluchaung 3,"339",Above ground,Intake,0.00000,,0.00000,"0","0","0",RoR,Loikaw,"52",1.000000000000000,0,"-",0.750000000000000,,5.10000,"0.73","52",Local BOT,"1493",,5.000000000000000,Loikaw,40.200000000000003,Future Energy,Baluchaung,Built,Kayah,Thanlwin,1268.00000,"8042",Nam Pawn,"334","52","-","Not sure if this is a dam - may just be infrastructure. But assuming the sequence runs from Baluchaung 1 through 3, from north to south; and we know Baluchaung 2 is correct, then this is the only structure that can be Baluchaung 3.",Baluchaung,HP,Myanmar,97.397000000000006,19.545999999999999,Complete,Baluchaung 3,"2014",DAM0003,./0.png
96.781918,20.484592,1925.00000,"16","32","66",3.30000,Kalaw,"1140",Above ground,,9.70000,,,,,,,Pin Laung,"30",1.000000000000000,0,"35",0.430000000000000,,3.00000,"0.34","30",Local BOT,"1493",,31.100000000000001,Taunggyi,11.100000000000000,NeoEnergy Oasis,Baluchaung,Construction,Shan,Thanlwin,349.00000,"356",Nam Pawn,"90","30",,https://cdm.unfccc.int/filestorage/M/A/B/MABJRWF82L1DGKX4QCNOVSEH673ZP0/PDD_UB-2_ver1_131031.pdf?t=VGh8bzMxbDF5fDBh34XFFoXWAt3fwfAVE7xS,Baluchaung,HP,Myanmar,96.781918000000005,20.484591999999999,UC,Baluchaung (upper),"2019",DAM0004,./0.png
96.848496,18.255561,,,,,,,,,Rockfill,19.40000,"700",,"278","557","339",S,Kyauk Gyi,"160",1.000000000000000,0,"80",0.090000000000000,,0.00000,"0.36","160",Local BOT,"2806",,36.500000000000000,Taungoo,9.500000000000000,Thoolei,Bawgata,LocMoU,Bago,Sittaung,300.00000,"260",Bawgata,"500","160","835",,Bawgata,HP,Myanmar,96.848495999999997,18.255561000000000,Proposed,Bawgata,"2020",DAM0005,./0.png
97.243546,17.519723,3700.00000,,"61","230",,Thaton,,,,310.00000,"1100",,"9491","220","578",S,Bilin,"280",1.000000000000000,0,"131",0.050000000000000,,0.00000,"-","280",Local BOT,"3138",,84.400000000000006,Thaton,190.000000000000000,HCDG,Bilin,LocMoU,Mon,Bilin,5992.00000,"2250",Bilin,,"280","9711",,Bilin River,HP,Myanmar,97.243545999999995,17.519722999999999,Proposed,Belin,"2021",DAM0006,./0.png
94.0818,20.76609,,,,,,,,,,76.20000,"600",,"119","602","17",S,Setotaya,"150",1.000000000000000,0,"138",0.090000000000000,,0.00000,"0.41","150",Sole Investment,"1694",,34.299999999999997,Minbu,79.000000000000000,MOALI,Mone Chaung,GOM Plan,Magway,Ayeyarwady,2491.00000,"2305",Mone Chaung,"534","150","721",,Mon Chaung,MP,Myanmar,94.081800000000001,20.766089999999998,Proposed,Buywa (upper),"2019",DAM0007,./0.png
94.150833,20.658056,,,,,,,,,,38.10000,,,"139","70","0","-",Setotaya,"42",1.000000000000000,0,"46",,,0.00000,"-","42",Sole Investment,"1694",,,Minbu,,MOALI,Mone Chaung,Construction,Magway,Ayeyarwady,0.00000,"3108",Mone Chaung,,"42","209",,Mon Chaung,MP,Myanmar,94.150833000000006,20.658055999999998,UC,Buywa,"2018",DAM0008,./0.png
98.12572,25.8905,,"2762",,,5.70000,,"400",Underground,CFRD,27.70000,"10700",62.00000,"380","1530","2",RoR,Chipwi,"340",0.500000000000000,1700,"203",0.220000000000000,,0.00000,"0.61","3400",Foreign JV/BOT,"1540",,101.700000000000003,Myitkyina,2210.000000000000000,CPI,Nmae Hka,JVA,Kachin,Ayeyarwady,69695.00000,"21734",Ayeyarwady Headwaters,"18200","3400","1910",,N'Mai  Hka,HP,PRC,98.125720000000001,25.890499999999999,Proposed,Chipwi,"2020",DAM0009,./0.png
98.184039,25.806073,,"26","98","132",5.60000,Waingmaw,"740",Above ground,CG,0.10000,,0.70000,"0","1","0",RoR,Chipwi,"20",0.200000000000000,79,"48",0.120000000000000,,16.70000,"0.69","99",Foreign JV/BOT,"1540",,72.599999999999994,Myitkyina,40.100000000000001,SPIC,Nmae Hka,Built,Kachin,Ayeyarwady,1265.00000,"552",Ayeyarwady Headwaters,"599","99","1",,Chipwi Hka,HP,PRC,98.184038999999999,25.806073000000001,Complete,Chipwi Nge,"2013",DAM0010,./0.png
97.525448,24.421451,1330.00000,,"37","132",,Bamaw,"250",Above ground,Concrete,0.40000,,3.60000,"15","8","1",RoR,Bhamo,"19",0.080000000000000,221,"46",0.190000000000000,,4.30000,"0.51","240",Foreign JV/BOT,"1686",0.32000,53.100000000000001,Bhamo,319.000000000000000,China Datang,Dapein,Built,Kachin,Ayeyarwady,10060.00000,"6002",Dapein,"1065","240","22",Google Earth visible. See also https://cdm.unfccc.int/filestorage/t/m/XVMU7R9ONJBAP2ZGD8L3C4FYE5KHW0.pdf/PDD.pdf?t=Q2F8bzMzMW84fDAfiJMpRQsQs6aYwYImqFJ6,Dapein,HP,PRC,97.525447999999997,24.421451000000001,Complete,Dapein 1,"2011",DAM0011,./0.png
97.4214,24.36827,1330.00000,"380","16","230",5.90000,Dapein1,"179",Above ground,CG,,"600",8.00000,"36","19","1",RoR,Moemauk,"70",0.500000000000000,70,"59",0.190000000000000,,0.00000,"0.52","140",Foreign JV/BOT,"1686",,53.200000000000003,Bhamo,331.000000000000000,DUHD,Dapein,MOU,Kachin,Ayeyarwady,10438.00000,"6220",Dapein,"642","140","55",,Dapein,HP,PRC,97.421400000000006,24.368269999999999,Proposed,Dapein 2,"2022",DAM0012,./0.png
96.404455,21.68723,1300.00000,"840","20","132",6.60000,Belin,"81",In dam,RCC Gravity Dam,,"200",21.00000,,,"0",ROR,Kyaukse,"66",1.100000000000000,-6,"27",0.210000000000000,620.000000000000000,0.00000,"0.64","60",Foreign JV/BOT,"1596",43.38000,17.100000000000001,Pyinoolwin,491.399999999999977,Andritz Hydro,Lower Myitnge,MOU,Mandalay,Ayeyarwady,15496.00000,"28695",Myitnge,"338","60","13",Google Earth visible.,Lower Myitnge,HP,Austria,96.404454999999999,21.687230000000000,Proposed,Deedoke,"2020",DAM0109,./0.png
97.907021,25.511556,2822.00000,"83",,,7.50000,,"405",Underground,CG,,"500",5.00000,"30","4","9",S,Wyunmaw,"130",1.000000000000000,0,"81",0.290000000000000,,3.40000,"0.33","130",Foreign JV/BOT,,,58.200000000000003,Myitkyina,38.399999999999999,YBEP/Chan Yinn Khuu,Nmae Hka,MOU,Kachin,Ayeyarwady,1211.00000,"660",Ayeyarwady Headwaters,"371","130","34",,N'Mai  Hka Tributary,HP,PRC/MYA,97.907021000000000,25.511555999999999,Proposed,Dum Ban,"2020",DAM0014,./0.png
98.580461,26.051936,3500.00000,"76","15","230",17.40000,Hawkawn,"1510",Above ground,CG,6.70000,"500",3.00000,"1","0","0",RoR,Chipwi,"60",0.500000000000000,60,"47",0.080000000000000,,11.00000,"0.56","120",Foreign JV/BOT,"1540",,75.799999999999997,Myitkyina,56.100000000000001,YEIG/IGOEC,Naw Chang  Hka,JVA,Kachin,,1769.00000,"740",Ayeyarwady Headwaters,"594","120","1",,Naw Chang  Hka,HP,PRC/MYA,98.580461000000000,26.051936000000001,Proposed,Gaw Lan,"2026",DAM0015,./0.png
97.399722,19.211667,1100.00000,"360",,,5.90000,,"206",,,,"700",29.00000,,,,,,,0.000000000000000,,"72",0.180000000000000,,0.00000,"0.48","180",Foreign JV/BOT,"1446",,19.800000000000001,Bawlakhe,334.000000000000000,TEI/HCTC,Nam Pawn,MOU,Kayah,Thanlwin,10533.00000,"16884",Nam Pawn,"755","180","333",,Nam Pawn,HP,SIN/MYA,97.399721999999997,19.211666999999998,Proposed,Hawkham (upper),"2020",DAM0016,./0.png
100.720928,21.341291,,,,,,,,,,6.50000,"600",27.00000,"12","56","0",RoR,,"69",0.500000000000000,69,,0.200000000000000,,0.00000,"0.4","138",Foreign JV/BOT,"1381",,23.800000000000001,He Kou,359.000000000000000,YNIC,Nam Lwe,MOU,Shan,Mekong,11321.00000,"15103",Nam Lwe,"483","138","68",,Nam Lwe,HP,PRC,100.720928000000001,21.341290999999998,Proposed,He Kou,"2025",DAM0017,./0.png
98.429523,26.023865,3625.00000,,"15","230",,Tongxinqiao,,,,2.00000,"600",2.80000,"3","2","0",RoR,Tsawlaw,"70",0.500000000000000,70,"42",0.320000000000000,,0.00000,"0.63","140",Foreign JV/BOT,"1540",,72.799999999999997,Myitkyina,96.500000000000000,YEIG/IGOEC,Naw Chang  Hka,MOA,Kachin,,3043.00000,"1326",Ayeyarwady Headwaters,"769","140","5",,Naw Chang  Hka,HP,PRC/MYA,98.429523000000003,26.023865000000001,Proposed,Hkankawn,"2026",DAM0112,./0.png
98.34309,26.598389,3000.00000,"1804",,,15.40000,,"665",Underground,CFRD,7.90000,"7100",31.00000,"229","306","2",RoR,Kanglanphu,,,,"153",0.040000000000000,,0.00000,"0.73","2000",Foreign JV/BOT,"2524",,103.700000000000003,Putau,1730.000000000000000,CPI,Nmae Hka,MOA,Kachin,Ayeyarwady,54557.00000,"16689",Ayeyarwady Headwaters,"12870","2000","535",,N'Mai  Hka,HP,PRC,98.343090000000004,26.598389000000001,Proposed,Pisa,"2030",DAM0019,./0.png
95.296955,25.322227,2964.00000,,,,,,,,,509.00000,"4600",,"14610","6312","47",S,Htamanthi,,,,"74",0.160000000000000,,0.00000,"0.64","1200",National Hydroelectric Power Corporation (India),,1396.00000,108.799999999999997,Hkamti,3573.000000000000000,NHPC,Upper Chindwin,Suspended,Sagaing,Chindwin,112678.00000,"109",Chindwin,"6685","1200","20922","An article dated Sept. 03, 2013 in the Shan Herald claims that India has cancelled the dam.",Chindwin,HP,India,95.296954999999997,25.322227000000002,Proposed,Tamanthi,,DAM0199,./0.png
97.747,17.528,2436.00000,"648",,"230",3.70000,230-kV TL Thaton SS and 33 kV TL Myainnggyingu SS MYA,"48",At dam toe,RCC Gravity Dam,27.10000,"5100",16.00000,"171","338","0",RoR,Kamamung,"136",0.100000000000000,1224,"118",0.320000000000000,,0.00000,"0.61","1360",Foreign JV/BOT,"1540",,14.199999999999999,Hpapun,4409.000000000000000,Sinohydro+EGATi+IGOEC,Lower Thanlwin,MOA,Kayin,Thanlwin,139042.00000,"311167",Thanlwin Mainstem,"7325","1360","509",Location: https://en.wikipedia.org/wiki/Hatgyi_Dam.,Thanlwin Mainstem,HP,PRC/THA/MYA,97.747000000000000,17.527999999999999,Proposed,Hutgyi,"2020",DAM0021,./0.png
96.220825,18.896717,,,"25","33",,Taungoo,"119",Above ground,Rock/Embankment?,150.00000,,16.00000,"384","1084","123",S,Oak Twin,"30",1.000000000000000,0,"61",0.120000000000000,,0.00000,"0.46","30",Sole Investment,"2081",,33.299999999999997,Taungoo,36.100000000000001,MoEE/MOALI,Other Sittaung,Built,Bago,Sittaung,1138.00000,"1083",Other Sittaung,"120","30","1468",,Kabaung Chaung,MP,Myanmar,96.220825000000005,18.896716999999999,Complete,Kabaung,"2008",DAM0022,./0.png
98.29305,20.598345,,"51","119","132",4.20000,Namsan,,Above ground,CG,0.10000,,0.90000,"52","9","4",S,Moenane,"54",1.000000000000000,0,"27",0.220000000000000,,2.20000,"0.8","54",Sole Investment,"1475",,19.500000000000000,Linkhe,164.800000000000011,MoEE,Nam Teng,Built,Shan,Thanlwin,5196.00000,"8450",Nam Teng,"378","54","61",Google Earth visible.,Nam Teng,HP,Myanmar,98.293049999999994,20.598344999999998,Complete,Keng Tawng,"2009",DAM0023,./0.png
98.184077,20.74558,,"154","73","132",4.60000,Namsan,,Semi underground,Rockfill,23.30000,,,"110","19","9",S,Keng Tawng,"51",1.000000000000000,0,"56",0.230000000000000,,0.00000,"0.52","51",Sole Investment,"1475",,19.500000000000000,Linkhe,146.400000000000006,MoEE,Nam Teng,Construction,Shan,Thanlwin,4618.00000,"7510",Nam Teng,"231","51","128",Google Earth visible.,Nam Teng,HP,Myanmar,98.184077000000002,20.745580000000000,UC,Keng Tawng (upper),"2019",DAM0024,./0.png
99.500985,21.617799,,,,,,,,,,8.40000,"700",26.00000,"12","21","1",RoR,,"85",0.500000000000000,85,,0.200000000000000,,0.00000,"0.36","170",Foreign JV/BOT,"1381",,24.399999999999999,Mongkhak,111.000000000000000,YNIC,Nam Lwe,MOU,Shan,Mekong,3500.00000,"4543",Nam Lwe,"536","170","32",,Nam Lwe,HP,PRC,99.500985000000000,21.617799000000002,Proposed,Keng Tong,"2025",DAM0025,./0.png
100.5619,21.3469,,,,,,,,,,5.40000,"300",24.00000,"8","33","0",RoR,,"35",0.500000000000000,35,,0.200000000000000,,0.00000,"0.25","70",Foreign JV/BOT,"1381",,23.800000000000001,He Kou,340.000000000000000,YNIC,Nam Lwe,MOU,Shan,Mekong,10722.00000,"14260",Nam Lwe,"155","70","41",,Nam Lwe,HP,PRC,100.561899999999994,21.346900000000002,Proposed,Keng Yang,"2025",DAM0026,./0.png
98.376808,26.849507,,"1611",,,9.50000,,"875",Underground,CFRD,32.90000,"9100",85.00000,"1526","1574","12",S,Kanglanphu,,,,"223",0.110000000000000,,0.00000,"0.62","2700",Foreign JV/BOT,"1540",,102.400000000000006,Puta-O,1500.000000000000000,CPI,Nmae Hka,MOA,Kachin,,47304.00000,"14655",Ayeyarwady Headwaters,"14730","2700","3100",,N'Mai  Hka,HP,PRC,98.376807999999997,26.849506999999999,Proposed,Khaunglanphu,"2030",DAM0121,./0.png
96.321037,21.160437,,,"0","132",,"Ingone,Thazi","193",Above ground,Rockfill,28.60000,,14.50000,"871","207","290",S,Kyaukse,"56",1.000000000000000,0,"72",0.200000000000000,620.000000000000000,0.00000,"0.34","56",Sole Investment,,43.38000,15.500000000000000,Taunggyi,34.700000000000003,MoEE,Zawgyi/Myogyi,Built,Shan,Ayeyarwady,1094.00000,"2240",Myitnge,"165","56","1078",Google Earth visible.,Panlaung Chaung,MP,Myanmar,96.321037000000004,21.160437000000002,Complete,Kinda,"1990",DAM0028,./0.png
96.363854,18.420367,,,"41","230",,Chauk,"190",Above ground,Earth/Rock,150.00000,,23.00000,"1135","333","376",S,Pyu,"60",1.000000000000000,0,"73",0.090000000000000,,2.50000,"0.36","60",Sole Investment,"2081",,40.799999999999997,Bago,34.899999999999999,MoEE,Other Sittaung,Built,Bago,,1101.00000,"855",Other Sittaung,"190","60","1468",,Kun Chaung,MP,Myanmar,96.363854000000003,18.420366999999999,Complete,Kun Chaung,"2012",DAM0125,./0.png
98.611111,23.531667,,"620","68","230",6.10000,Theinni,"519",At dam toe,CG,65.40000,"5200",55.00000,"208","483","1",RoR,Kunlong,"700",0.500000000000000,700,"103",0.270000000000000,,0.00000,"0.58","1400",Foreign JV/BOT,,,14.800000000000001,Kunlong,1910.000000000000000,"Hanergy YN, MPC",Upper Thanlwin,JVA,Shan,Thanlwin,60234.00000,"128989",Thanlwin Mainstem,"7142","1400","691",,Thanlwin Mainstem,HP,PRC/MYA,98.611110999999994,23.531666999999999,Proposed,KunLong,"2023",DAM0030,./0.png
94.416,20.331,,,"70","132",,Mann,"120",Above ground,Earth,32.80000,,29.80000,"571","0","52",S,Sidoktaya,"74",1.000000000000000,0,"50",0.100000000000000,,0.00000,"0.57","74",Sole Investment,"1694",,24.899999999999999,Minbu,126.900000000000006,MOALI,Mone Chaung,Built,Magway,Ayeyarwady,4002.00000,"5100",Mone Chaung,"370","74","571",,Mon Chaung,MP,Myanmar,94.415999999999997,20.331000000000000,Complete,Kyee Ohn Kyee Wa,"2012",DAM0031,./0.png
98.277743,26.043012,3124.00000,,"16","230",,Tongxinqiao,,,,12.40000,"2400",10.70000,"40","27","3",RoR,Tsawlaw,"300",0.500000000000000,300,"79",0.330000000000000,,0.00000,"0.46","600",Foreign JV/BOT,"1540",,74.000000000000000,Myitkyina,154.000000000000000,YEIG/IGOEC,Naw Chang  Hka,MOA,Kachin,Ayeyarwady,4857.00000,"2080",Ayeyarwady Headwaters,"2401","600","67",,Naw Chang  Hka,HP,PRC/MYA,98.277743000000001,26.043012000000001,Proposed,Lawngdin,"2026",DAM0134,./0.png
93.350503,20.857443,3560.00000,,,,,,,,,36.00000,"2400",,"7609","1520","218",S,,"600",1.000000000000000,0,,,,0.00000,"0.68","600",Foreign JV/BOT,"2750",,61.799999999999997,Mindat,404.000000000000000,Tractabel,Lemro,MOU,Chin,Rakhine,12741.00000,"6535",Lemro,"3576","600","9129",,Le Mro,HP,France,93.350503000000003,20.857443000000000,Proposed,Lemro 1,,DAM0033,./0.png
97.77695,26.491779,3000.00000,"1844",,,4.40000,,"370",,CFRD,245.50000,"6800",115.00000,"5700","6080","35",S,Sumprabum,"950",0.500000000000000,950,"196",0.220000000000000,,0.00000,"0.88","1900",Foreign JV/BOT,"2524",,123.599999999999994,Puta-O,1890.000000000000000,CPIYN,Mali Hka,JVA,Kachin,Ayeyarwady,59603.00000,"15291",Ayeyarwady Headwaters,"14720","1900","11780",,Mali Hka,HP,PRC,97.776949999999999,26.491779000000001,Proposed,Laza,"2025",DAM0034,./0.png
93.268689,20.740347,3335.00000,,,,,,,,,193.00000,"400",,,"4",,ROR,Mrauk Oo,"90",1.000000000000000,0,,,,0.00000,"0.35","90",Foreign JV/BOT,"2750",,63.399999999999999,Mrauk Oo,530.000000000000000,Tractabel,Lemro,MOU,Rakhine,Rakhine,16714.00000,"8355",Lemro,"273","90",,,Le Mro,HP,France,93.268688999999995,20.740347000000000,Proposed,Lemro 2,,DAM0035,./0.png
97.408611,19.555,1100.00000,"260",,,8.70000,,"292",At dam toe,,,"400",36.00000,,,,,,"105",1.000000000000000,0,"88",0.190000000000000,,0.00000,"0.67","105",Foreign JV/BOT,"1446",,19.800000000000001,Loikaw,155.599999999999994,TEI/HCTC,Nam Pawn,MOU,Kayah,Thanlwin,4907.00000,"7860",Nam Pawn,"618","105","526",,Nam Pawn,HP,SIN/MYA,97.408610999999993,19.555000000000000,Proposed,Nam Pawn (lower),"2020",DAM0036,./0.png
98.65,20.456389,,,,,,,"395",,,870.00000,"14500",380.00000,"37399","2401","156",S,Mongtong,"700",0.100000000000000,6300,"241",0.320000000000000,,0.00000,"0.57","7000",Foreign JV/BOT,"1406",870.00000,15.100000000000000,Monghsat,2776.000000000000000,Three Gorges+EGAT,Middle Thanlwin,MOU,Shan,Thanlwin,87544.00000,"183265",Thanlwin Mainstem,"34700","7000","39800",Location derived from https://en.wikipedia.org/wiki/Dams_in_Myanmar#Hydroelectric,Thanlwin Mainstem,HP,PRC/Thailand,98.650000000000006,20.456389000000001,Proposed,Mong Ton,"2030",DAM0037,./0.png
93.943248,22.804356,1500.00000,,"32","230",,GaNaw-Kalay In/out,,,,,"1500",45.00000,"874","769","52",S,Kalay,"380",1.000000000000000,0,"168",0.340000000000000,,0.00000,"0.57","380",Foreign JV/BOT,"1803",,16.699999999999999,Falam,193.000000000000000,CHEC/Sein,Manipur,MOU,Chin,Chindwin,6086.00000,"11549",Manipur,"1903","380","1643",Earthworks Google Earth visible.,Manipur,MP,PRC/MYA,93.943247999999997,22.804355999999999,UC,Manipur,"2020",DAM0142,./0.png
98.55727,22.97469,1630.00000,"282","105","500",9.10000,Theinni,"492",River-bank,CFRD,10.50000,"900",86.00000,"498","717","74",S,Minemaw,"113",0.500000000000000,113,"109",0.780000000000000,518.000000000000000,0.00000,"0.47","225",Foreign JV/BOT,,,19.899999999999999,Hopang,78.299999999999997,HydroChina/IGOEC,Nam Ma,MOA,Shan,Thanlwin,2469.00000,"3936",Nam Ma,"936","225","1215","Location: http://www.burmariversnetwork.org/index.php?option=com_content&view=article&id=981&Itemid=392; also http://www.irrawaddy.com/burma/meeting-salween-dams-troubles-shan-communities.html/attachment/map-shan-ngo-dams",Nam Ma,HP,PRC/MYA,98.557270000000003,22.974689999999999,Proposed,Mantong,"2024",DAM0039,./0.png
94.255325,20.479942,,,"160","132",,Chauk,"167",Above ground,Rockfill,41.50000,,19.40000,"642","190","76",S,Setoktaya,"75",1.000000000000000,0,"61",0.100000000000000,,0.00000,"0.5","75",Sole Investment,"1694",,26.300000000000001,Minbu,97.299999999999997,MoEE/MOALI,Mone Chaung,Built,Magway,Ayeyarwady,3068.00000,"3695",Mone Chaung,"330","75","832",,Mon Chaung,MP,Myanmar,94.255324999999999,20.479942000000001,Complete,Mone Chaung,"2004",DAM0040,./0.png
100.325821,21.39699,1535.00000,"294",,,5.30000,,"555",Riverbed type,Gravity Dam,8.00000,,30.50000,"22","56","1",RoR,KengTung,"66",1.000000000000000,0,"51",0.190000000000000,,0.00000,"0.57","66",Local BOT,"1381",,20.699999999999999,Mong Yawng,285.000000000000000,ESDC,Nam Lwe,Built,Shan,Mekong,8988.00000,"13800",Nam Lwe,"330","66","78",,Nam Lwe,HP,Myanmar,100.325821000000005,21.396989999999999,Complete,Mongwa,"2017",DAM0041,./0.png
97.535,25.715,3234.00000,"7158",,,11.80000,,"245",Above ground,CFRD,397.00000,"14200",140.00000,"4503","8687","10",S,Myitkyina,"600",0.100000000000000,5400,"140",0.120000000000000,1310.000000000000000,0.00000,"0.6","6000",Foreign JV/BOT,,262.40000,103.299999999999997,Myitkyina,5040.000000000000000,CPIYN/AWC,Upper Ayeyarwady Mainstem,JVA,Kachin,Ayeyarwady,158941.00000,"48782",Ayeyarwady,"31290","6000","13190",,Ayeyarwady,HP,PRC/MYA,97.534999999999997,25.715000000000000,Suspended,Myitsone,,DAM0150,./0.png
